ID da fila;ID da compra;Data da compra;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro
41;MX-2014-121398;09/12/2014;11/12/2014;Segunda classe;AA-10825;Arthur Alves;Grande Empresa;La Romana;La Romana;República Dominicana;Caribe;MAT-MA-10004629;Material de escritório;Materiais;Fiskars Cortador de papel, Retangular;624;3;0,2;85,8
42;MX-2013-121839;17/06/2013;21/06/2013;Segunda classe;RA-19690;Rafaela Alves;Varejo;Milpa Alta;Distrito Federal;México;Norte;TEC-TE-10004696;Tecnologia;Telefones;Motorola Smart Phone, Azul;3460,8;4;0;1556,8
43;MX-2014-142643;29/10/2014;02/11/2014;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-MÁ-10000856;Tecnologia;Máquinas;Panasonic Inkjet, Branco;4140;2;0;455,2
44;MX-2014-142643;29/10/2014;02/11/2014;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;MAT-AC-10003188;Material de escritório;Acessórios;Hamilton Beach Forno, Preto;7223,6;2;0;505,6
45;MX-2014-142643;29/10/2014;02/11/2014;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-AC-10001296;Tecnologia;Acessórios;Memorex Mouse, Econômico;563,4;3;0;39
46;MX-2014-164959;16/01/2014;17/01/2014;No mesmo dia;LC-16960;Leonardo Correia;Pequenas e Medias Empresas;Goiânia;Goiás;Brasil;Sul;MÓV-CA-10004556;Móveis;Cadeiras;Novimex Cadeira dobrável, Par;1689,6;3;0;405
47;US-2012-151372;27/04/2012;02/05/2012;Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MAT-AR-10003252;Material de escritório;Armazenamento;Eldon Bandejas, Metal;1254,4;5;0,2;-0,6
48;US-2012-151372;27/04/2012;02/05/2012;Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;1534,0752;2;0,202;361,2752
49;MX-2011-127145;12/06/2011;17/06/2011;Classe padrão;RP-20200;Ryan Pinto;Varejo;São Benedito;Ceará;Brasil;Sul;MÓV-MÓ-10003663;Móveis;Móveis ;Advantus Lâmpada, Preto;267,6;2;0;74,8
50;MX-2014-100783;06/05/2014;10/05/2014;Classe padrão;MS-18205;Maria Santos;Grande Empresa;Medellín;Antioquia;Colômbia;Sul;MAT-CO-10001898;Material de escritório;Colchetes;Accos Clips de papel, Embalagem com 12;449;5;0;85
51;MX-2011-168662;13/10/2011;18/10/2011;Segunda classe;KG-16255;Kauã Gomes;Grande Empresa;Toluca;México;México;Norte;MAT-MA-10002131;Material de escritório;Materiais;Stiletto Abridor de carta, Retangular;668,8;4;0;287,2
52;US-2011-150987;02/04/2011;06/04/2011;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004173;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Par;2306,7252;3;0,402;-856,4748
53;US-2011-150987;02/04/2011;06/04/2011;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;1724,3928;3;0,402;-34,8072
54;US-2011-150987;02/04/2011;06/04/2011;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000709;Material de escritório;Acessórios;KitchenAid Forno, Preto;6834,96;3;0,4;-797,64
55;US-2011-150987;02/04/2011;06/04/2011;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-EN-10004625;Material de escritório;Envelopes;Ames Com lacre, Reciclado;277,2;2;0,4;41,2
56;MX-2013-156013;31/05/2013;05/06/2013;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;218,4;3;0,2;30
57;MX-2013-156013;31/05/2013;05/06/2013;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MÓV-ES-10001838;Móveis;Estantes;Bush Par, Preto;2005,44;4;0,4;-133,76
58;MX-2011-137897;17/05/2011;20/05/2011;Segunda classe;JM-15580;José Melo;Varejo;Tulancingo;Hidalgo;México;Norte;TEC-TE-10001342;Tecnologia;Telefones;Nokia Carregador, Tamanho real;21245;5;0;4886
59;US-2011-134950;24/08/2011;28/08/2011;Classe padrão;NF-19240;Nicolash Ferreira;Varejo;Cidade do Panamá;Panamá;Panamá;Central;MAT-AR-10001866;Material de escritório;Arte;Sanford Marcadores de texto, Tamanhos variados;227,16;3;0,4;-117,84
60;MX-2013-152611;11/10/2013;17/10/2013;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Pinheiro;Maranhão;Brasil;Sul;TEC-TE-10003922;Tecnologia;Telefones;Samsung Telefone do escritório, Azul;3913,2;9;0;1447,2
61;MX-2011-155488;21/10/2011;27/10/2011;Classe padrão;CS-12220;Carla Silva;Varejo;La Paz;Baixa Califórnia do Sul;México;Norte;MAT-AC-10003848;Material de escritório;Acessórios;Hoover Liquidificador, Branco;635,4;1;0;209,6
62;MX-2014-116337;16/05/2014;16/05/2014;No mesmo dia;MS-18205;Maria Santos;Grande Empresa;Lençóis Paulista;São Paulo;Brasil;Sul;MÓV-ES-10003326;Móveis;Estantes;Safco Estante tradicional, Metal;8752,2;3;0;1399,8
63;US-2012-164609;26/08/2012;28/08/2012;Segunda classe;LM-16885;Leila Martins;Varejo;Tegucigalpa;Francisco Morazán;Honduras;Central;MÓV-ES-10000391;Móveis;Estantes;Ikea Biblioteca, Preto;4376,88;3;0,4;-2480,52
64;MX-2014-165442;14/03/2014;17/03/2014;Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10001257;Material de escritório;Fichários;Acco Encadernadora, Reciclado;686;2;0;267,2
65;MX-2014-165442;14/03/2014;17/03/2014;Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10002581;Material de escritório;Fichários;Acco Pasta argolada, Transparente;487;5;0;175
66;US-2012-104997;05/11/2012;11/11/2012;Classe padrão;NR-19300;Nicole Ribeiro;Varejo;La Ceiba;Atlántida;Honduras;Central;MÓV-ME-10000799;Móveis;Mesas;HON Mesa de treinamento, Retangular;1321,08;2;0,7;-924,92
67;MX-2011-165673;31/05/2011;05/06/2011;Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;MAT-PA-10002155;Material de escritório;Papel;Eaton Papel de pergaminho, Premium;179,6;2;0;57,2
68;MX-2011-165673;31/05/2011;05/06/2011;Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;TEC-CO-10003597;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Vermelho;6356,262;5;0,002;2661,262
69;MX-2013-164021;23/07/2013;29/07/2013;Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-ES-10004606;Móveis;Estantes;Sauder Estante tradicional, Preto;8746,8;3;0;4110,6
70;MX-2013-164021;23/07/2013;29/07/2013;Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-MÓ-10003988;Móveis;Móveis ;Deflect-O Lâmpada, Preto;759,6;6;0;379,2
71;US-2014-120194;12/09/2014;19/09/2014;Classe padrão;VD-21445;Vitór Dias;Grande Empresa;Abreu e Lima;Pernambuco;Brasil;Sul;MÓV-ME-10001141;Móveis;Mesas;Chromcraft Mesa de conferência, Retangular;9282,56;2;0,2;-812,24
72;US-2011-132388;24/02/2011;28/02/2011;Classe padrão;GM-14470;Gabriela Martins;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;TEC-MÁ-10004627;Tecnologia;Máquinas;Okidata Impressora, Durável;1074,48;2;0,7;-1217,92
73;MX-2012-156720;17/02/2012;22/02/2012;Classe padrão;FC-14215;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-MA-10002650;Material de escritório;Materiais;Stiletto Cortador de papel, Azul;285;1;0;122,4
74;MX-2012-156720;17/02/2012;22/02/2012;Classe padrão;FC-14215;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;TEC-AC-10003433;Tecnologia;Acessórios;Memorex Pen drive, Econômico;980;5;0;205
75;MX-2012-156720;17/02/2012;22/02/2012;Classe padrão;FC-14215;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-FI-10004660;Material de escritório;Fichários;Cardinal Divisórias, Transparente;89,6;2;0;39,2
76;MX-2012-156720;17/02/2012;22/02/2012;Classe padrão;FC-14215;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-EN-10001718;Material de escritório;Envelopes;Jiffy Com lacre, Vermelho;1357;5;0;312
77;US-2014-157630;25/06/2014;29/06/2014;Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima (cidade);Peru;Sul;MAT-MA-10003427;Material de escritório;Materiais;Fiskars Tesouras, Azul;185,28;2;0,4;-83,52
78;US-2014-157630;25/06/2014;29/06/2014;Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima (cidade);Peru;Sul;MAT-AR-10002257;Material de escritório;Armazenamento;Smead Armários, Tamanho real;1587,6;2;0,4;158,4
79;US-2014-157630;25/06/2014;29/06/2014;Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima (cidade);Peru;Sul;MAT-MA-10000797;Material de escritório;Materiais;Kleencut Tesouras, Retangular;1217,16;7;0,4;-20,44
80;US-2011-119935;13/06/2011;17/06/2011;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MÓV-MÓ-10000525;Móveis;Móveis ;Tenex Lâmpada, Embalagem multipack;227,88;3;0,4;-7,92
81;US-2011-119935;13/06/2011;17/06/2011;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MÓV-CA-10003783;Móveis;Cadeiras;Office Star Cadeira de praia, Par;3230,64;14;0,4;-1240,96
82;US-2011-119935;13/06/2011;17/06/2011;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;TEC-AC-10002930;Tecnologia;Acessórios;Enermax Cartão de memória, Durável;1375,2;3;0,4;-229,2
83;US-2011-119935;13/06/2011;17/06/2011;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MAT-AR-10002860;Material de escritório;Arte;Crayola Marcadores de texto, Tamanhos variados;395,4;5;0,4;-198,6
84;MX-2013-119970;25/06/2013;01/07/2013;Classe padrão;MS-18220;Maria Silva;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-AR-10002439;Material de escritório;Armazenamento;Eldon Armários, Tamanho real;2639,2;2;0;52,4
85;MX-2013-119970;25/06/2013;01/07/2013;Classe padrão;MS-18220;Maria Silva;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10003141;Material de escritório;Materiais;Elite Cortador de papel, Industrial;1443;5;0;360
86;MX-2014-165925;22/01/2014;27/01/2014;Classe padrão;CG-12355;Carolina Goncalves;Varejo;Tuxtla Gutiérrez;Chiapas;México;Norte;MAT-PA-10002524;Material de escritório;Papel;Green Bar Cadernetas, Multicolorido;367,2;3;0;102,6
87;MX-2014-137365;18/06/2014;23/06/2014;Classe padrão;MP-18760;Matheus Pinto;Varejo;Piedras Negras;Coahuila;México;Norte;MAT-CO-10001542;Material de escritório;Colchetes;OIC Clips de papel, Embalagem tipo bulk;769,6;8;0;99,2
88;MX-2014-137365;18/06/2014;23/06/2014;Classe padrão;MP-18760;Matheus Pinto;Varejo;Piedras Negras;Coahuila;México;Norte;MÓV-MÓ-10000743;Móveis;Móveis ;Eldon Peso de porta, Premium;390,24;2;0,4;-19,76
89;MX-2012-158981;28/12/2012;01/01/2013;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;TEC-AC-10003695;Tecnologia;Acessórios;Memorex Teclado, Econômico;1426,8;3;0;327,6
90;MX-2012-158981;28/12/2012;01/01/2013;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MÓV-ES-10000469;Móveis;Estantes;Dania Biblioteca, Preto;5820;3;0,2;2182,2
91;MX-2012-158981;28/12/2012;01/01/2013;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MAT-FI-10002102;Material de escritório;Fichários;Ibico Reforço para fichário, Econômico;419,4;9;0;0
92;MX-2012-158981;28/12/2012;01/01/2013;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MAT-EN-10002793;Material de escritório;Envelopes;Ames Com lacre, Prata;2550;10;0;918
93;MX-2013-169292;23/04/2013;27/04/2013;Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-PA-10000782;Material de escritório;Papel;Xerox Cadernetas, Embalagem com 12;589;5;0;153
94;MX-2013-169292;23/04/2013;27/04/2013;Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-EN-10002322;Material de escritório;Envelopes;Kraft Envelope kraft, Conjunto de 50;883;5;0;88
95;MX-2013-169292;23/04/2013;27/04/2013;Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-CO-10000354;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;176,8;2;0;22,8
96;MX-2011-112319;19/04/2011;25/04/2011;Classe padrão;KB-16465;Kauê Barbosa;Varejo;Natal;Rio Grande do Norte;Brasil;Sul;MÓV-ES-10001958;Móveis;Estantes;Dania Par, Preto;5759,6;7;0;1208,2
97;MX-2011-112319;19/04/2011;25/04/2011;Classe padrão;KB-16465;Kauê Barbosa;Varejo;Natal;Rio Grande do Norte;Brasil;Sul;TEC-AC-10001104;Tecnologia;Acessórios;Enermax Pen drive, Econômico;553,6;2;0;16,4
98;MX-2011-149986;21/10/2011;25/10/2011;Classe padrão;ÁC-10075;Ágatha Correia;Grande Empresa;Estelí;Estelí;Nicarágua;Central;MAT-AR-10004870;Material de escritório;Armazenamento;Smead Pratelheiras, Metal;960;3;0;48
99;US-2013-125892;08/08/2013;10/08/2013;Primeira classe;MA-18400;Marisa Almeida;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MÓV-CA-10003783;Móveis;Cadeiras;Office Star Cadeira de praia, Par;923,04;3;0,2;-35,16
100;US-2013-125892;08/08/2013;10/08/2013;Primeira classe;MA-18400;Marisa Almeida;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MAT-PA-10002996;Material de escritório;Papel;Eaton Resma, Premium;849,6;6;0,2;-54
101;MX-2013-158533;13/12/2013;18/12/2013;Segunda classe;JG-15850;Julian Gomes;Varejo;Mixco;Guatemala;Guatemala;Central;TEC-AC-10003185;Tecnologia;Acessórios;Logitech Roteador, Econômico;4946,4;3;0;1978,2
102;MX-2013-165708;04/12/2013;09/12/2013;Classe padrão;CC-12040;Camila Costa;Pequenas e Medias Empresas;Camagüey;Camagüey;Cuba;Caribe;MAT-CO-10001674;Material de escritório;Colchetes;Stockwell Alfinetes, Tamanhos variados;394;5;0;51
103;US-2013-103051;04/11/2013;10/11/2013;Classe padrão;VC-21400;Vitor Cardoso;Varejo;Ocotlán;Jalisco;México;Norte;MÓV-CA-10002289;Móveis;Cadeiras;Office Star Cadeira dobrável, Vermelho;2445,6;5;0,2;-275,4
104;US-2013-103051;04/11/2013;10/11/2013;Classe padrão;VC-21400;Vitor Cardoso;Varejo;Ocotlán;Jalisco;México;Norte;MAT-AR-10002650;Material de escritório;Arte;Sanford Canetas, Metal;164,8;2;0;22,8
105;MX-2013-151988;30/11/2013;02/12/2013;Segunda classe;NC-19150;Nicolas Castro;Varejo;Cholula;Puebla;México;Norte;MAT-EN-10004878;Material de escritório;Envelopes;Jiffy Envelope com fecho, Conjunto de 50;56,8;1;0;22,6
106;MX-2012-141915;10/10/2012;16/10/2012;Classe padrão;LS-17350;Livia Santos;Varejo;Cidade do México;Distrito Federal;México;Norte;MÓV-CA-10003721;Móveis;Cadeiras;HON Protetor de piso, Vermelho;2665,44;9;0,2;66,24
